ISO Date,moon_theta,moon_phi,sun_theta,sun_phi,eclipse
2035-09-02T01:56:46.000,159.643,-0.160559,158.965,-0.00260848,1
2036-02-27T04:46:49.000,337.927,-1.88699,337.659,-0.000638003,1
2036-07-23T10:32:06.000,121.045,-1.8624,120.65,-0.00488876,1
2036-08-21T17:25:45.000,148.187,0.183071,148.719,-0.00427058,1
2037-01-16T09:48:55.000,296.298,0.201081,296.084,0.00196204,1
2037-07-13T02:40:36.000,111.287,-1.42791,110.549,-0.0061249,1
2038-01-05T13:47:11.000,284.326,-0.374109,284.78,0.0026019,1
2038-07-02T13:32:55.000,99.9107,-0.386186,100.25,-0.00587718,1
2038-12-26T01:00:10.000,274.07,-0.672503,273.786,0.00398371,1
2039-06-21T17:12:54.000,88.9464,0.165193,89.6569,-0.00654606,1
2039-12-15T16:23:46.000,262.219,-1.69839,262.981,0.0033443,1
2040-05-11T03:43:02.000,51.0401,-1.97678,50.5091,-0.00657068,1
2040-11-04T19:09:02.000,222.139,0.35851,222.408,0.00215056,1
2041-04-30T11:52:21.000,39.7118,-0.867545,39.932,-0.00499048,1
2041-10-25T01:36:22.000,212.044,0.0351095,211.433,0.00227002,1
2042-04-20T02:17:30.000,29.7465,-0.628959,29.5558,-0.00544358,1
2042-10-14T02:00:42.000,200.872,-0.607702,200.266,0.00157379,1
2043-04-09T18:57:49.000,18.2442,0.567296,19.2139,-0.00333242,1
2043-10-03T03:01:49.000,189.873,-1.26244,189.195,0.000305531,1
2044-02-28T20:24:40.000,338.712,-1.28582,339.271,0.000564733,1
2044-08-23T01:17:02.000,150.666,0.322099,149.949,-0.00407305,1
2045-02-16T23:56:07.000,328.027,-0.751239,328.082,0.00147202,1
2045-08-12T17:42:39.000,139.348,-0.694501,139.779,-0.00549501,1
2046-02-05T23:06:26.000,316.444,-0.0522122,316.655,0.00260488,1
2046-08-02T10:21:13.000,129.925,-0.941572,129.665,-0.00523504,1
2047-01-26T01:33:18.000,305.475,0.463485,305.33,0.00326933,1
2047-06-23T10:52:31.000,91.4777,0.941782,91.2703,-0.0069399,1
2047-07-22T22:36:17.000,119.337,-2.12235,119.394,-0.00693779,1
2047-12-16T23:50:12.000,264.515,-1.40678,264.261,0.0053958,1
2048-06-11T12:58:53.000,80.3563,0.241844,80.6005,-0.00716973,1
2048-12-05T15:35:27.000,252.956,-1.23185,253.484,0.00410341,1
2049-05-31T13:59:59.000,69.3657,-0.464205,69.8649,-0.00720224,1
2049-11-25T05:33:48.000,243.465,-0.237014,242.677,0.00483325,1
2050-05-20T20:42:50.000,58.6778,-1.54391,59.322,-0.00774589,1
2050-11-14T13:30:53.000,231.367,0.112373,231.651,0.00356873,1
